theta,theta_dot,torque,label1,label2
1.80688,-0.824204,0.320178,-0.824204,9.86629
4.58373,0.757989,0.341573,0.757989,-9.39493
0.565642,-0.371101,-0.763767,-0.371101,4.49769
4.88525,3.11403,-0.959844,3.11403,-10.6548
6.22621,3.63669,0.667195,3.63669,0.0722308
4.57573,3.26059,-0.179259,3.26059,-9.93041
0.0674444,-0.477316,0.317925,-0.477316,0.983826
0.871155,0.754368,0.558453,0.754368,8.05628
2.39412,-4.14513,-0.939218,-4.14513,5.77093
1.59462,0.189512,0.704093,0.189512,10.5094
3.06538,3.70229,-0.6337,3.70229,0.0762405
5.58614,3.11304,0.338482,3.11304,-5.99021
2.58545,-2.14179,-0.841121,-2.14179,4.35912
1.87667,1.85971,0.0930307,1.85971,9.42911
1.18598,-1.96496,-0.93519,-1.96496,8.17701
2.47517,-1.05126,0.486124,-1.05126,6.56098
1.67312,-2.37075,0.638754,-2.37075,10.4212
6.2062,-1.00709,-0.941739,-1.00709,-1.68612
1.53584,-3.80761,0.827098,-3.80761,10.6692
3.05434,0.552444,0.282941,0.552444,1.13227
6.20329,-2.23903,0.856422,-2.23903,0.0958396
5.18147,-1.59529,-0.407654,-1.59529,-9.14209
1.64574,-0.212864,-0.532546,-0.212864,9.25204
1.60282,3.50202,0.109188,3.50202,9.87914
0.802837,1.50663,-0.0127536,1.50663,7.0288
6.06347,4.67901,-0.948212,4.67901,-3.13312
1.5092,1.18448,0.411213,1.18448,10.1908
5.83265,-4.54663,-0.505466,-4.54663,-4.73171
4.94406,-1.42556,-0.336324,-1.42556,-9.87
5.74057,2.68617,0.670747,2.68617,-4.42182
4.83663,0.227079,0.763841,0.227079,-8.97281
3.15246,0.772475,-0.544028,0.772475,-0.658407
0.96584,-3.93075,-0.801389,-3.93075,7.30691
2.68279,1.77455,0.260638,1.77455,4.5875
2.87227,-1.98645,-0.872379,-1.98645,1.75772
2.67845,-2.24264,0.670826,-2.24264,5.07596
4.91826,4.50018,0.155525,4.50018,-9.49232
6.18404,-0.281362,-0.287387,-0.281362,-1.25558
5.6213,-2.45864,-0.463133,-2.45864,-6.46783
1.14521,-1.8915,-0.437382,-1.8915,8.51644
0.484498,0.920889,-0.575271,0.920889,3.98467
4.54679,0.960452,0.893813,0.960452,-8.79159
2.44295,-0.35016,0.11613,-0.35016,6.4292
0.623685,-0.156103,-0.369346,-0.156103,5.36156
3.19131,3.68433,0.640278,3.68433,0.115929
1.72161,-0.547167,-0.3905,-0.547167,9.31362
3.68903,0.64131,0.727119,0.64131,-4.38541
5.44818,-4.29141,0.791789,-4.29141,-6.43745
2.39369,4.82337,-0.258072,4.82337,6.36552
1.28646,0.077805,-0.919837,0.077805,8.4955
3.34329,4.41293,-0.144526,4.41293,-2.15396
2.49501,-3.93129,-0.339562,-3.93129,5.6099
3.9077,2.5586,-0.317622,2.5586,-7.14483
