x,theta,x_dot,theta_dot,force,label1,label2,label3,label4
1.29232,0.0174007,0.503803,-0.270559,-9.46012,0.503803,-0.270559,-9.44271,18.5412
0.288776,-0.0304144,-0.453933,0.773457,-8.60907,-0.453933,0.773457,-8.63899,17.8666
0.00727279,-0.140105,-0.856431,0.589937,0.550771,-0.856431,0.589937,0.411886,1.92418
1.4149,0.0279834,-0.817113,-0.876657,6.9045,-0.817113,-0.876657,6.93247,-14.4085
-2.25905,0.181982,0.427671,-0.256093,-8.64274,0.427671,-0.256093,-8.43989,13.0502
-0.636834,0.0185324,-0.84181,-0.279171,0.667833,-0.84181,-0.279171,0.686058,-1.73547
-2.343,0.146819,-0.374483,-0.751709,-1.0751,-0.374483,-0.751709,-0.927013,-1.03618
-1.78078,-0.153091,0.273496,-0.250799,3.43141,0.273496,-0.250799,3.27546,-3.48239
-2.35327,-0.163518,-0.608862,-0.8116,6.15038,-0.608862,-0.8116,5.97163,-8.59
1.1577,0.187298,0.939362,-0.879481,1.13915,0.939362,-0.879481,1.32124,-6.24961
-1.42027,0.047202,0.835367,-0.311135,0.387509,0.835367,-0.311135,0.433877,-1.79255
1.48347,0.120724,-0.626034,0.679981,-4.80791,-0.626034,0.679981,-4.68105,6.93112
2.3271,-0.0148144,0.0977138,0.848248,5.19357,0.0977138,0.848248,5.17839,-10.065
0.74115,0.0974269,-0.778593,0.0160566,8.05263,-0.778593,0.0160566,8.1399,-18.1111
-0.792719,-0.0735418,0.116723,0.197799,-2.97819,0.116723,0.197799,-3.04858,7.52226
-1.18132,-0.0665314,0.209155,-0.776727,5.74046,0.209155,-0.776727,5.67088,-10.0123
0.263222,0.120811,-0.448488,0.351178,-8.63115,-0.448488,0.351178,-8.50069,14.5129
0.487621,-0.0307964,0.743859,-0.542878,-5.67305,0.743859,-0.542878,-5.70316,12.005
2.32069,-0.129393,0.679441,-0.296252,6.15176,0.679441,-0.296252,6.01566,-9.39912
0.929014,-0.0692111,-0.325138,-0.919926,5.51516,-0.325138,-0.919926,5.44195,-9.50101
0.737399,-0.156775,0.163236,0.380916,1.61435,0.163236,0.380916,1.45838,0.182352
1.61275,0.0890605,0.692214,-0.740851,-4.77462,0.692214,-0.740851,-4.68157,7.58097
-2.00053,0.187879,-0.118285,-0.542483,-6.77566,-0.118285,-0.542483,-6.56999,9.24421
