x,y,s,heading,curvature,v_ref
0.933854,0.918275,4.074200,-0.659734,-1.708558,0.000000
0.962893,0.895750,4.110951,-0.722566,-1.708558,0.000000
0.990460,0.871447,4.147701,-0.785398,-1.708558,0.000000
1.016447,0.845460,4.184452,-0.848230,-1.708558,0.000000
1.040750,0.817893,4.221202,-0.911062,-1.708558,0.000000
1.063275,0.788854,4.257953,-0.973894,-1.708558,0.000000
1.083932,0.758459,4.294704,-1.036726,-1.708558,0.000000
1.102639,0.726826,4.331454,-1.099557,-1.708558,0.000000
1.119324,0.694081,4.368205,-1.162389,-1.708558,0.000000
1.133919,0.660353,4.404955,-1.225221,-1.708558,0.000000
1.146368,0.625775,4.441706,-1.288053,-1.708558,0.000000
1.156621,0.590484,4.478457,-1.350885,-1.708558,0.000000
1.164638,0.554618,4.515207,-1.413717,-1.708558,0.000000
1.170387,0.518320,4.551958,-1.476549,-1.708558,0.000000
1.173846,0.481732,4.588708,-1.539380,-1.708558,0.000000
1.175000,0.445000,4.625459,-1.570796,-0.852749,0.000000
1.175000,0.408333,4.662126,-1.570796,0.000000,0.000000
1.175000,0.371667,4.698792,-1.570796,0.000000,0.000000
1.175000,0.335000,4.735459,-1.570796,0.000000,0.000000
1.175000,0.298333,4.772126,-1.570796,0.000000,0.000000
1.175000,0.261667,4.808792,-1.570796,0.000000,0.000000
1.175000,0.225000,4.845459,-1.570796,0.000000,0.000000
1.175000,0.188333,4.882126,-1.570796,0.000000,0.000000
1.175000,0.151667,4.918792,-1.570796,0.000000,0.000000
1.175000,0.115000,4.955459,-1.570796,0.000000,0.000000
1.175000,0.078333,4.992126,-1.570796,0.000000,0.000000
1.175000,0.041667,5.028792,-1.570796,0.000000,0.000000
1.175000,0.005000,5.065459,-1.594839,-0.640516,0.000000
1.174139,-0.030810,5.101279,-1.642925,-1.341894,0.000000
1.171557,-0.066537,5.137100,-1.806177,-4.554894,0.000000
1.163171,-0.101505,5.173059,-1.854901,-1.347015,0.000000
1.153147,-0.135833,5.208820,-1.903632,-1.354607,0.000000
1.141528,-0.169446,5.244385,-1.952371,-1.362285,0.000000
1.128358,-0.202269,5.279752,-2.001117,-1.370052,0.000000
1.113686,-0.234232,5.314921,-2.049870,-1.377908,0.000000
1.097565,-0.265267,5.349894,-2.098631,-1.385856,0.000000
1.080051,-0.295309,5.384669,-2.147399,-1.393896,0.000000
1.061200,-0.324296,5.419246,-2.196176,-1.402030,0.000000
1.041073,-0.352170,5.453626,-2.244960,-1.410261,0.000000
1.019735,-0.378875,5.487809,-2.293752,-1.418589,0.000000
0.997250,-0.404359,5.521795,-2.342553,-1.427017,0.000000
0.973686,-0.428575,5.555584,-2.391362,-1.435546,0.000000
0.949113,-0.451478,5.589175,-2.440180,-1.444179,0.000000
0.923602,-0.473027,5.622569,-2.489006,-1.452917,0.000000
0.897226,-0.493185,5.655766,-2.537842,-1.461761,0.000000
0.870061,-0.511920,5.688765,-2.586686,-1.470715,0.000000
0.842180,-0.529203,5.721568,-2.635539,-1.479780,0.000000
0.813661,-0.545008,5.754173,-2.684402,-1.488958,0.000000
0.784582,-0.559313,5.786582,-2.733274,-1.498251,0.000000
0.755019,-0.572103,5.818793,-2.782156,-1.507662,0.000000
0.725050,-0.583364,5.850807,-2.831048,-1.517193,0.000000
0.694755,-0.593087,5.882624,-2.879950,-1.526846,0.000000
0.664211,-0.601266,5.914244,-2.928862,-1.536623,0.000000
0.633497,-0.607900,5.945667,-2.977784,-1.546528,0.000000
0.602689,-0.612992,5.976893,-3.026718,-1.556561,0.000000
0.571865,-0.616549,6.007922,-3.075662,-1.566727,0.000000
0.541099,-0.618580,6.038754,-3.124617,-1.577027,0.000000
0.510469,-0.619100,6.069389,3.109602,-1.587465,0.000000
0.480046,-0.618127,6.099827,3.060625,-1.598042,0.000000
0.449904,-0.615681,6.130068,3.011635,-1.608763,0.000000
0.420113,-0.611787,6.160113,2.962634,-1.619630,0.000000
0.390742,-0.606474,6.189960,2.913620,-1.630645,0.000000
0.361858,-0.599773,6.219611,2.864595,-1.641813,0.000000
0.333527,-0.591718,6.249065,2.815556,-1.653135,0.000000
0.305811,-0.582348,6.278322,2.766505,-1.664616,0.000000
0.278771,-0.571701,6.307383,2.717440,-1.676260,0.000000
0.252465,-0.559822,6.336246,2.668362,-1.688068,0.000000
0.226948,-0.546757,6.364914,2.619270,-1.700045,0.000000
0.202274,-0.532553,6.393384,2.570164,-1.712195,0.000000
0.178492,-0.517262,6.421658,2.521044,-1.724521,0.000000
0.155650,-0.500935,6.449735,2.471910,-1.737028,0.000000
0.133790,-0.483629,6.477616,2.422760,-1.749718,0.000000
0.112956,-0.465398,6.505300,2.373595,-1.762597,0.000000
0.093184,-0.446303,6.532788,2.324415,-1.775669,0.000000
0.074509,-0.426401,6.560079,2.428323,3.742864,0.000000
0.054184,-0.408815,6.586956,2.380237,-1.788392,0.000000
0.034727,-0.390273,6.613834,2.365055,-0.686297,0.000000
0.011433,-0.367388,6.646489,2.356194,-0.268906,0.000000
-0.011452,-0.344503,6.678853,2.356194,-0.000000,0.000000
-0.034337,-0.321617,6.711217,2.356194,-0.000000,0.000000
-0.057222,-0.298732,6.743582,2.356194,0.000000,0.000000
-0.080107,-0.275847,6.775946,2.356194,-0.000000,0.000000
-0.102992,-0.252962,6.808311,2.356194,-0.000000,0.000000
-0.125877,-0.230077,6.840675,2.356194,0.000000,0.000000
-0.148762,-0.207192,6.873039,2.356194,-0.000000,0.000000
-0.171647,-0.184307,6.905404,2.356194,-0.000000,0.000000
-0.194533,-0.161422,6.937768,2.356194,0.000000,0.000000
-0.217418,-0.138537,6.970132,2.356194,0.000000,0.000000
-0.240303,-0.115652,7.002497,2.356194,-0.000000,0.000000
-0.263188,-0.092767,7.034861,2.356194,-0.000000,0.000000
-0.286073,-0.069882,7.067226,2.356194,0.000000,0.000000
-0.308958,-0.046997,7.099590,2.356194,0.000000,0.000000
-0.331843,-0.024112,7.131954,2.356194,-0.000000,0.000000
-0.354728,-0.001227,7.164319,2.356194,0.000000,0.000000
-0.377613,0.021659,7.196683,2.356194,-0.000000,0.000000
-0.400498,0.044544,7.229047,2.356194,0.000000,0.000000
-0.423383,0.067429,7.261412,2.356194,-0.000000,0.000000
-0.446268,0.090314,7.293776,2.356194,0.000000,0.000000
-0.469153,0.113199,7.326141,2.356194,-0.000000,0.000000
-0.492038,0.136084,7.358505,2.356194,0.000000,0.000000
-0.514923,0.158969,7.390869,2.356194,0.000000,0.000000
-0.537809,0.181854,7.423234,2.356194,-0.000000,0.000000
-0.560694,0.204739,7.455598,2.356194,0.000000,0.000000
-0.583579,0.227624,7.487962,2.446817,3.127606,0.000000
-0.611387,0.250800,7.524162,2.628063,4.979483,0.000000
-0.642917,0.268583,7.560361,2.809309,4.979483,0.000000
-0.677137,0.280391,7.596561,2.990555,4.979483,0.000000
-0.712924,0.285838,7.632761,-3.111385,4.979483,0.000000
-0.749107,0.284745,7.668960,-2.930139,4.979483,0.000000
-0.784501,0.277147,7.705160,-2.748894,4.979483,0.000000
-0.817945,0.263294,7.741359,-2.567648,4.979483,0.000000
-0.848344,0.243639,7.777559,-2.386402,4.979483,0.000000
-0.874702,0.218827,7.813758,-2.205156,4.979483,0.000000
-0.896156,0.189670,7.849958,-2.023911,4.979483,0.000000
-0.912003,0.157124,7.886157,-1.842665,4.979483,0.000000
-0.921724,0.122254,7.922357,-1.661419,4.979483,0.000000
-0.925000,0.086203,7.958557,-1.570796,2.523604,0.000000
-0.925000,0.049661,7.995098,-1.570796,0.000000,0.000000
-0.925000,0.013120,8.031639,-1.570796,0.000000,0.000000
-0.925000,-0.023421,8.068181,-1.570796,0.000000,0.000000
-0.925000,-0.059963,8.104722,-1.570796,0.000000,0.000000
-0.925000,-0.096504,8.141263,-1.570796,0.000000,0.000000
-0.925000,-0.133045,8.177805,-1.570796,0.000000,0.000000
-0.925000,-0.169587,8.214346,-1.570796,0.000000,0.000000
-0.925000,-0.206128,8.250887,-1.570796,0.000000,0.000000
-0.925000,-0.242669,8.287429,-1.570796,0.000000,0.000000
-0.925000,-0.279211,8.323970,-1.570796,0.000000,0.000000
-0.925000,-0.315752,8.360511,-1.570796,0.000000,0.000000
-0.925000,-0.352293,8.397053,-1.570796,0.000000,0.000000
-0.925000,-0.388835,8.433594,-1.570796,0.000000,0.000000
-0.925000,-0.425376,8.470135,-1.570796,0.000000,0.000000
-0.925000,-0.461917,8.506677,-1.570796,0.000000,0.000000
-0.925000,-0.498459,8.543218,-1.570796,0.000000,0.000000
-0.925000,-0.535000,8.579759,-1.505346,1.826009,0.000000
-0.922562,-0.572200,8.617039,-1.374447,3.501259,0.000000
-0.915289,-0.608763,8.654319,-1.243547,3.501259,0.000000
-0.903306,-0.644065,8.691599,-1.112647,3.501259,0.000000
-0.886817,-0.677500,8.728878,-0.981748,3.501259,0.000000
-0.866106,-0.708497,8.766158,-0.850848,3.501259,0.000000
-0.841525,-0.736525,8.803438,-0.719948,3.501259,0.000000
-0.813497,-0.761106,8.840718,-0.589049,3.501259,0.000000
-0.782500,-0.781817,8.877998,-0.458149,3.501259,0.000000
-0.749065,-0.798306,8.915277,-0.327249,3.501259,0.000000
-0.713763,-0.810289,8.952557,-0.196350,3.501259,0.000000
-0.677200,-0.817562,8.989837,-0.065450,3.501259,0.000000
-0.640000,-0.820000,9.027117,0.000000,1.529449,0.000000
-0.607500,-0.820000,9.059617,0.000000,0.000000,0.000000
-0.575000,-0.820000,9.092117,-0.092400,-3.224028,0.000000
-0.538250,-0.823405,9.129024,-0.277199,-4.978671,0.000000
-0.502752,-0.833506,9.165931,-0.461999,-4.978671,0.000000
-0.469714,-0.849957,9.202839,-0.646798,-4.978671,0.000000
-0.440261,-0.872198,9.239746,-0.831598,-4.978671,0.000000
-0.415397,-0.899473,9.276653,-1.016398,-4.978671,0.000000
-0.395967,-0.930852,9.313561,-1.201197,-4.978671,0.000000
-0.382635,-0.965267,9.350468,-1.385997,-4.978671,0.000000
-0.375853,-1.001546,9.387375,-1.570796,-4.978671,0.000000
-0.375853,-1.038454,9.424283,-1.755596,-4.978671,0.000000
-0.382635,-1.074733,9.461190,-1.940395,-4.978671,0.000000
-0.395967,-1.109148,9.498097,-2.125195,-4.978671,0.000000
-0.415397,-1.140527,9.535005,-2.309995,-4.978671,0.000000
-0.440261,-1.167802,9.571912,-2.494794,-4.978671,0.000000
-0.469714,-1.190043,9.608819,-2.679594,-4.978671,0.000000
-0.502752,-1.206494,9.645727,-2.864393,-4.978671,0.000000
-0.538250,-1.216595,9.682634,-3.049193,-4.978671,0.000000
-0.575000,-1.220000,9.719542,3.141593,-2.540145,0.000000
-0.612500,-1.220000,9.757042,3.141593,0.000000,0.000000
-0.650000,-1.220000,9.794542,3.141593,0.000000,0.000000
-0.687500,-1.220000,9.832042,3.141593,0.000000,0.000000
-0.725000,-1.220000,9.869542,-3.049193,2.421604,0.000000
-0.761750,-1.223405,9.906449,-2.864393,4.978671,0.000000
-0.797248,-1.233506,9.943356,-2.679594,4.978671,0.000000
-0.830286,-1.249957,9.980264,-2.494794,4.978671,0.000000
-0.859739,-1.272198,10.017171,-2.309995,4.978671,0.000000
-0.884603,-1.299473,10.054078,-2.125195,4.978671,0.000000
-0.904033,-1.330852,10.090986,-1.940395,4.978671,0.000000
-0.917365,-1.365267,10.127893,-1.755596,4.978671,0.000000
-0.924147,-1.401546,10.164800,-1.570796,4.978671,0.000000
-0.924147,-1.438454,10.201708,-1.385997,4.978671,0.000000
-0.917365,-1.474733,10.238615,-1.201197,4.978671,0.000000
-0.904033,-1.509148,10.275522,-1.016398,4.978671,0.000000
-0.884603,-1.540527,10.312430,-0.831598,4.978671,0.000000
-0.859739,-1.567802,10.349337,-0.646798,4.978671,0.000000
-0.830286,-1.590043,10.386244,-0.461999,4.978671,0.000000
-0.797248,-1.606494,10.423152,-0.277199,4.978671,0.000000
-0.761750,-1.616595,10.460059,-0.092400,4.978671,0.000000
-0.725000,-1.620000,10.496966,0.000000,2.488606,0.000000
-0.688261,-1.620000,10.533706,0.000000,0.000000,0.000000
-0.651522,-1.620000,10.570445,0.000000,0.000000,0.000000
-0.614783,-1.620000,10.607184,0.000000,0.000000,0.000000
-0.578043,-1.620000,10.643923,0.000000,0.000000,0.000000
-0.541304,-1.620000,10.680662,0.000000,0.000000,0.000000
-0.504565,-1.620000,10.717401,0.000000,0.000000,0.000000
-0.467826,-1.620000,10.754140,0.000000,0.000000,0.000000
-0.431087,-1.620000,10.790879,0.000000,0.000000,0.000000
-0.394348,-1.620000,10.827619,0.000000,0.000000,0.000000
-0.357609,-1.620000,10.864358,0.000000,0.000000,0.000000
-0.320870,-1.620000,10.901097,0.000000,0.000000,0.000000
-0.284130,-1.620000,10.937836,0.000000,0.000000,0.000000
-0.247391,-1.620000,10.974575,0.000000,0.000000,0.000000
-0.210652,-1.620000,11.011314,0.000000,0.000000,0.000000
-0.173913,-1.620000,11.048053,0.000000,0.000000,0.000000
-0.137174,-1.620000,11.084792,0.000000,0.000000,0.000000
-0.100435,-1.620000,11.121532,0.000000,0.000000,0.000000
-0.063696,-1.620000,11.158271,0.000000,0.000000,0.000000
-0.026957,-1.620000,11.195010,0.000000,0.000000,0.000000
0.009783,-1.620000,11.231749,0.000000,0.000000,0.000000
0.046522,-1.620000,11.268488,0.000000,0.000000,0.000000
0.083261,-1.620000,11.305227,0.000000,0.000000,0.000000
0.119500,-1.620000,11.341466,0.098175,2.714079,0.000000
0.155689,-1.616436,11.377831,0.294524,5.364877,0.000000
0.190488,-1.605880,11.414195,0.490874,5.364877,0.000000
0.222558,-1.588738,11.450559,0.687223,5.364877,0.000000
0.250668,-1.565668,11.486924,0.883573,5.364877,0.000000
0.273738,-1.537558,11.523288,1.079922,5.364877,0.000000
0.290880,-1.505488,11.559653,1.276272,5.364877,0.000000
0.301436,-1.470689,11.596017,1.472622,5.364877,0.000000
0.305000,-1.434500,11.632381,1.469850,-0.074123,0.000000
0.308564,-1.399311,11.667751,1.276272,-5.591955,0.000000
0.319120,-1.364512,11.704115,1.079922,-5.364877,0.000000
0.336262,-1.332442,11.740479,0.883573,-5.364877,0.000000
0.359332,-1.304332,11.776844,0.687223,-5.364877,0.000000
0.387442,-1.281262,11.813208,0.490874,-5.364877,0.000000
0.419512,-1.264120,11.849572,0.294524,-5.364877,0.000000
0.454311,-1.253564,11.885937,0.098175,-5.364877,0.000000
0.490500,-1.250000,11.922301,0.000000,-2.631349,0.000000
0.526000,-1.250000,11.957801,0.000000,0.000000,0.000000
0.562000,-1.250000,11.993801,0.000000,0.000000,0.000000
0.598000,-1.250000,12.029801,0.000000,0.000000,0.000000
0.634000,-1.250000,12.065801,0.000000,0.000000,0.000000
0.670000,-1.250000,12.101801,0.000000,0.000000,0.000000
0.706000,-1.250000,12.137801,0.000000,0.000000,0.000000
0.742000,-1.250000,12.173801,0.000000,0.000000,0.000000
0.778000,-1.250000,12.209801,0.000000,0.000000,0.000000
0.814000,-1.250000,12.245801,0.000000,0.000000,0.000000
0.850000,-1.250000,12.281801,0.023800,0.659845,0.000000
0.885924,-1.249145,12.317736,0.071400,1.324128,0.000000
0.921767,-1.246581,12.353670,0.119000,1.324128,0.000000
0.957448,-1.242315,12.389605,0.166600,1.324128,0.000000
0.992885,-1.236356,12.425539,0.214199,1.324128,0.000000
1.027998,-1.228718,12.461474,0.261799,1.324128,0.000000
1.062708,-1.219417,12.497408,0.309399,1.324128,0.000000
1.096936,-1.208476,12.533343,0.356999,1.324128,0.000000
1.130605,-1.195918,12.569277,0.404599,1.324128,0.000000
1.163638,-1.181772,12.605212,0.452199,1.324128,0.000000
1.195961,-1.166071,12.641146,0.499799,1.324128,0.000000
1.227500,-1.148849,12.677081,0.547399,1.324128,0.000000
1.258184,-1.130146,12.713015,0.594999,1.324128,0.000000
1.287943,-1.110005,12.748950,0.642598,1.324128,0.000000
1.316710,-1.088470,12.784884,0.690198,1.324128,0.000000
1.344420,-1.065591,12.820819,0.737798,1.324128,0.000000
1.371010,-1.041419,12.856753,0.785398,1.324128,0.000000
1.396419,-1.016010,12.892688,0.832998,1.324128,0.000000
1.420591,-0.989420,12.928622,0.880598,1.324128,0.000000
1.443470,-0.961710,12.964557,0.928198,1.324128,0.000000
1.465005,-0.932943,13.000492,0.975798,1.324128,0.000000
1.485146,-0.903184,13.036426,1.023398,1.324128,0.000000
1.503849,-0.872500,13.072361,1.070997,1.324128,0.000000
1.521071,-0.840961,13.108295,1.118597,1.324128,0.000000
1.536772,-0.808638,13.144230,1.166197,1.324128,0.000000
1.550918,-0.775605,13.180164,1.213797,1.324128,0.000000
1.563476,-0.741936,13.216099,1.261397,1.324128,0.000000
1.574417,-0.707708,13.252033,1.308997,1.324128,0.000000
1.583718,-0.672998,13.287968,1.356597,1.324128,0.000000
1.591356,-0.637885,13.323902,1.404197,1.324128,0.000000
1.597315,-0.602448,13.359837,1.451797,1.324128,0.000000
1.601581,-0.566767,13.395771,1.499396,1.324128,0.000000
1.604145,-0.530924,13.431706,1.546996,1.324128,0.000000
1.605000,-0.495000,13.467640,1.570796,0.662093,0.000000
1.605000,-0.459074,13.503566,1.570796,0.000000,0.000000
1.605000,-0.423148,13.539492,1.570796,0.000000,0.000000
1.605000,-0.387222,13.575418,1.570796,0.000000,0.000000
1.605000,-0.351296,13.611344,1.570796,0.000000,0.000000
1.605000,-0.315370,13.647270,1.570796,0.000000,0.000000
1.605000,-0.279444,13.683196,1.570796,0.000000,0.000000
1.605000,-0.243519,13.719122,1.570796,0.000000,0.000000
1.605000,-0.207593,13.755048,1.570796,0.000000,0.000000
1.605000,-0.171667,13.790974,1.570796,0.000000,0.000000
1.605000,-0.135741,13.826900,1.570796,0.000000,0.000000
1.605000,-0.099815,13.862826,1.570796,0.000000,0.000000
1.605000,-0.063889,13.898751,1.570796,0.000000,0.000000
1.605000,-0.027963,13.934677,1.570796,0.000000,0.000000
1.605000,0.007963,13.970603,1.570796,0.000000,0.000000
1.605000,0.043889,14.006529,1.570796,0.000000,0.000000
1.605000,0.079815,14.042455,1.570796,0.000000,0.000000
1.605000,0.115741,14.078381,1.570796,0.000000,0.000000
1.605000,0.151667,14.114307,1.570796,0.000000,0.000000
1.605000,0.187593,14.150233,1.570796,0.000000,0.000000
1.605000,0.223519,14.186159,1.570796,0.000000,0.000000
1.605000,0.259444,14.222085,1.570796,0.000000,0.000000
1.605000,0.295370,14.258011,1.570796,0.000000,0.000000
1.605000,0.331296,14.293937,1.570796,0.000000,0.000000
1.605000,0.367222,14.329863,1.570796,0.000000,0.000000
1.605000,0.403148,14.365788,1.570796,0.000000,0.000000
1.605000,0.439074,14.401714,1.570796,0.000000,0.000000
1.605000,0.475000,14.437640,1.589061,0.509149,0.000000
1.604343,0.510974,14.473621,1.625592,1.015059,0.000000
1.602372,0.546900,14.509601,1.662122,1.015059,0.000000
1.599091,0.582731,14.545581,1.698652,1.015059,0.000000
1.594503,0.618417,14.581561,1.735182,1.015059,0.000000
1.588615,0.653912,14.617541,1.771712,1.015059,0.000000
1.581435,0.689169,14.653522,1.808242,1.015059,0.000000
1.572971,0.724139,14.689502,1.844772,1.015059,0.000000
1.563237,0.758778,14.725482,1.881303,1.015059,0.000000
1.552243,0.793037,14.761462,1.917833,1.015059,0.000000
1.540006,0.826872,14.797442,1.954363,1.015059,0.000000
1.526541,0.860238,14.833422,1.990893,1.015059,0.000000
1.511867,0.893090,14.869403,2.027423,1.015059,0.000000
1.496002,0.925384,14.905383,2.063953,1.015059,0.000000
1.478969,0.957077,14.941363,2.100483,1.015059,0.000000
1.460789,0.988126,14.977343,2.137014,1.015059,0.000000
1.441488,1.018491,15.013323,2.173544,1.015059,0.000000
1.421090,1.048131,15.049304,2.210074,1.015059,0.000000
1.399624,1.077006,15.085284,2.246604,1.015059,0.000000
1.377117,1.105078,15.121264,2.283134,1.015059,0.000000
1.353601,1.132309,15.157244,2.319664,1.015059,0.000000
1.329105,1.158663,15.193224,2.356194,1.015059,0.000000
1.303663,1.184105,15.229205,2.392725,1.015059,0.000000
1.277309,1.208601,15.265185,2.429255,1.015059,0.000000
1.250078,1.232117,15.301165,2.465785,1.015059,0.000000
1.222006,1.254624,15.337145,2.502315,1.015059,0.000000
1.193131,1.276090,15.373125,2.538845,1.015059,0.000000
1.163491,1.296488,15.409106,2.575375,1.015059,0.000000
1.133126,1.315789,15.445086,2.611906,1.015059,0.000000
1.102077,1.333969,15.481066,2.648436,1.015059,0.000000
